,title,age,topic
0,"識字對一對. 1, 基礎單字",學齡前(0-5 歲),"['兒童遊戲', '漢字', '英語', '詞彙']"
1,"識字對一對. 2, 稱謂、相反詞、動物",學齡前(0-5 歲),"['兒童遊戲', '漢字', '英語', '詞彙']"
2,"識字對一對. 4, 交通工具、職業、建築物、運動",學齡前(0-5 歲),"['兒童遊戲', '漢字', '英語', '詞彙']"
3,兩顆胡桃,6-8 歲,"['基督徒', '兒童故事', '繪本']"
4,皇帝企鵝路易,6-8 歲,"['基督徒', '兒童故事', '繪本']"
5,卷丹百合與石頭伯伯,6-8 歲,"['基督徒', '兒童故事', '繪本']"
6,藏寶圖,6-8 歲,"['基督徒', '兒童故事', '繪本']"
7,偷吃紅蘿蔔的鼴鼠,6-8 歲,"['基督徒', '兒童故事', '繪本']"
8,瓷花盆與瓦花盆,6-8 歲,"['基督徒', '兒童故事', '繪本']"
9,紅帽啄木鳥,6-8 歲,"['基督徒', '兒童故事', '繪本']"
10,百合花綻放之日,6-8 歲,"['基督徒', '兒童故事', '繪本']"
11,庫庫和兔兔,6-8 歲,"['基督徒', '兒童故事', '繪本']"
12,好撒瑪利亞人,6-8 歲,"['基督徒', '兒童故事', '繪本']"
13,傳福音的慕迪,6-8 歲,"['基督徒', '兒童故事', '繪本']"
14,國王與村姑,6-8 歲,"['基督徒', '兒童故事', '繪本']"
15,我不再哭了,6-8 歲,"['基督徒', '兒童故事', '繪本']"
16,我的名字叫『溫柔』,6-8 歲,"['基督徒', '兒童故事', '繪本']"
17,格格的懊悔,6-8 歲,"['基督徒', '兒童故事', '繪本']"
18,毛毛蟲的祈禱,6-8 歲,"['基督徒', '兒童故事', '繪本']"
19,醜八怪與凸凸,6-8 歲,"['基督徒', '兒童故事', '繪本']"
20,寄居蟹突眼兒,6-8 歲,"['基督徒', '兒童故事', '繪本']"
21,希望王國,6-8 歲,"['基督徒', '兒童故事', '繪本']"
22,現在是訓練中,6-8 歲,"['基督徒', '兒童故事', '繪本']"
23,從現在起,6-8 歲,"['基督徒', '兒童故事', '繪本']"
24,懷布理和布克,6-8 歲,"['基督徒', '兒童故事', '繪本']"
25,有紅玫瑰花的房子,6-8 歲,"['基督徒', '兒童故事', '繪本']"
26,叔叔回來了,6-8 歲,"['基督徒', '兒童故事', '繪本']"
27,德立的冬天,6-8 歲,"['基督徒', '兒童故事', '繪本']"
28,被奪走的寶物,6-8 歲,"['基督徒', '兒童故事', '繪本']"
29,幫爸爸擦皮鞋的幸福,6-8 歲,"['基督徒', '兒童故事', '繪本']"
30,三劍客,6-8 歲,"['基督徒', '兒童故事', '繪本']"
31,請救救我弟弟,6-8 歲,"['基督徒', '兒童故事', '繪本']"
32,第一次招待客人,6-8 歲,"['兒童故事', '家庭教育']"
33,琳琳家的種子店,6-8 歲,"['基督徒', '兒童故事', '繪本']"
34,草莓族變身記,6-8 歲,['兒童故事']
35,"詞在有意思. 2, 項羽,分杯羹給我吧!",9-12 歲,"['漢語', '詞源學', '通俗作品']"
36,"詞在有意思. 1, 露馬腳, 皇后不能說的祕密!",9-12 歲,"['漢語', '詞源學', '通俗作品']"
37,兔兔主編的神奇相機,少年,['兒童小說']
38,不要叫我壞小孩,少年,['兒童小說']
39,"蚱蜢蹦蹦, 大象跳跳",6-8 歲,"['兒童故事', '繪本']"
40,"SOS救難小英雄. 2, 投降吧!病毒",9-12 歲,"['漫畫', '濾過性病毒']"
41,勤勞的小螞蟻,6-8 歲,"['兒童故事', '繪本']"
42,繪本找一找 : 想飛的小蝸牛,6-8 歲,['兒童遊戲']
43,尋寶找一找 : 海底龍宮歷險記,6-8 歲,['兒童遊戲']
44,科學實驗一本通 = Scientific experiment,6-8 歲,['科學實驗']
45,"聖獸戰士. 首部曲, 深海巨蛇賽普隆",9-12 歲,['兒童小說']
46,孩子!你知道你有多幸福,6-8 歲,['兒童文學']
47,美國小學生都在學的32堂英語課 : 一天一堂課32天速成英語小天才,9-12 歲,"['會話', '英語']"
48,十歲的生日禮物 = Birthday present,9-12 歲,"['兒童文學', '散文']"
49,第一次環島旅行,6-8 歲,"['旅遊', '臺灣']"
50,神奇的小痂 : 好想摳它 好想摳它 好想摳下這個痂,9-12 歲,"['科學', '通俗作品']"
51,科學料理王,9-12 歲,"['科學', '食譜', '漫畫']"
52,歡樂作文大晉級,9-12 歲,"['漢語教學', '小學教學', '作文', '寫作法', '青少年']"
53,冒險小王子,6-8 歲,['兒童故事']
54,"聖獸戰士. 首部曲, 噴火巨龍費諾",9-12 歲,['兒童小說']
55,"拯救地球大作戰. 4, 環境荷爾蒙",9-12 歲,"['漫畫', '環境保護', '知識性']"
56,真的假的?,6-8 歲,"['兒童故事', '繪本']"
57,"黃金戰士大冒險. 1, 來歷不明的生物",9-12 歲,"['生物', '通俗作品', '青少年']"
58,和奶奶玩烹飪,9-12 歲,['兒童故事']
59,粉紅色 = Pink,9-12 歲,['兒童故事']
60,天空色的種子,6-8 歲,"['兒童故事', '繪本']"
61,移動的積木,學齡前(0-5 歲),['兒童遊戲']
62,聖誕節的禮物,學齡前(0-5 歲),['兒童故事']
63,波波學溜冰,6-8 歲,"['兒童故事', '繪本']"
64,聖誕熊,6-8 歲,"['兒童故事', '繪本']"
65,冬日的舞會,6-8 歲,"['兒童故事', '繪本']"
66,小小熊和小小影,6-8 歲,['兒童故事']
67,媽媽別擔心,9-12 歲,"['兒童保護', '安全教育']"
68,追著米羅跑,6-8 歲,"['兒童故事', '文化創意']"
69,不是你想要的都可以得到,6-8 歲,['兒童故事']
70,四點半,6-8 歲,"['兒童故事', '繪本']"
71,小蠶豆與小鱂魚,6-8 歲,"['兒童故事', '繪本']"
72,"城市狗, 鄉下蛙",6-8 歲,['兒童故事']
73,我是-美國女總統,6-8 歲,['兒童故事']
74,猜一猜,6-8 歲,"['數學', '通俗作品', '繪本']"
75,小紫還太小,6-8 歲,['兒童故事']
76,莫莉的七彩回憶球,6-8 歲,['兒童故事']
77,媽祖不見了,9-12 歲,['兒童故事']
78,金老爺買鐘,6-8 歲,"['兒童故事', '繪本']"
79,烏龜娶親,6-8 歲,['兒童故事']
80,我在森林有個家,6-8 歲,"['兒童故事', '繪本']"
81,蛀牙蟲家族大搬家,6-8 歲,"['兒童故事', '繪本', '蛀牙']"
82,猜一猜童話 : 變色羊不吃青菜,6-8 歲,"['兒童故事', '童話']"
83,小女生everyday,6-8 歲,['兒童小說']
84,那隻深藍色的鳥是我爸爸,6-8 歲,"['兒童故事', '繪本']"
85,奧圖愛吃紅蘿蔔,6-8 歲,['兒童故事']
86,雪豹之歌 = The snow leopard,6-8 歲,"['兒童故事', '繪本']"
87,愛打岔的小雞,6-8 歲,"['兒童故事', '繪本']"
88,麗莎和卡斯柏 : 我想養小狗,6-8 歲,['兒童故事']
89,奇美,6-8 歲,"['兒童故事', '繪本']"
90,大雪中的小小熊,6-8 歲,['兒童故事']
91,森林小仙子 : 史黛拉和山姆,6-8 歲,"['童話', '繪本']"
92,珊瑚潭大冒險,9-12 歲,"['兒童故事', '青少年']"
93,舞啦啦變城隍,9-12 歲,['兒童故事']
94,"要是你喜歡, 送給你!",6-8 歲,['兒童故事']
95,小沙龍的冒險,6-8 歲,['兒童故事']
96,小水母傑利的奇幻旅程,6-8 歲,['兒童故事']
97,神話傳說迷宮 : 戴上魔法眼鏡遨遊神話傳說的世界,6-8 歲,['益智遊戲']
98,林海音童話故事,6-8 歲,"['兒童故事', '童話', '青少年']"
99,"神奇酷科學. 6, 太陽系的奇妙旅行",9-12 歲,"['環境汙染', '通俗作品', '青少年']"
100,誰掉了一隻鞋?,9-12 歲,['兒童故事']
101,不家村傳奇 : 不家大戰盜垃圾船長,6-8 歲,"['兒童故事', '童話']"
102,柳林風聲 : 經典閱讀&amp;寫作引導,9-12 歲,['兒童故事']
103,鐘聲喚醒的故事,6-8 歲,['兒童故事']
104,魔法自動販賣機,6-8 歲,['兒童故事']
105,超有趣食物和健康大奇航,9-12 歲,"['食物', '營養', '漫畫']"
106,千萬不要成為第二次世界大戰的難民 : 一段寄下籬下的逃難旅程!,9-12 歲,"['第二次世界大戰', '難民']"
107,千萬不要搭乘興登堡號飛船 : 一場支離破碎的航空夢想!,9-12 歲,"['航空工程', '飛艇']"
108,"千萬不要在維多利亞時代的紡織廠工作 : 我11歲, 每天工作13.5小時, 薪水只有大人的1/3!",9-12 歲,"['工業革命', '英國史']"
109,千萬不要上街爭取婦女投票權 : 異議份子不是那麽好當的!,9-12 歲,"['女權', '投票']"
110,"千萬不要成為南北戰爭的士兵 : 本是同根生,相煎何太急!!",9-12 歲,['美國南北戰爭']
111,千萬不要搭乘史上第一艘潛艇 : 一項空前的海底攻擊任務!,9-12 歲,"['歷史', '潛水艇']"
112,千萬不要加入西班牙無敵艦隊 : 一場死裡逃生的侵略戰爭!,9-12 歲,"['海上作戰', '近代戰史', '英國', '西班牙']"
113,千萬不要被放逐到澳洲新大陸 : 流放殖民地的一段悲慘人生!,9-12 歲,"['歷史', '澳洲']"
114,千萬不要去美洲新大陸討生活 : 還有許多苦頭等著你呢!,9-12 歲,"['殖民地', '美洲史', '英國']"
115,千萬不要成為聖女貞德 : 一個妳最好還是逃避的天命!,9-12 歲,"['中世戰史', '法國', '英國']"
116,千萬不要參與波士頓茶葉事件 : 想喝茶?你來錯地方啦!,9-12 歲,['美國獨立戰爭']
117,橘子,6-8 歲,"['橘', '繪本']"
118,"神奇酷科學. 5, 地球的生態危機",9-12 歲,"['環境汙染', '通俗作品', '青少年']"
119,我的大陳朋友,6-8 歲,"['兒童故事', '繪本']"
120,小器鬼的特效藥,6-8 歲,['兒童故事']
121,不要走太遠喔!,6-8 歲,['兒童故事']
122,ㄉㄚˋ嘴巴闖禍了,6-8 歲,['兒童故事']
123,慈濟之母 : 證嚴法師的故事,9-12 歲,"['佛教傳記', '通俗作品']"
124,魚道,9-12 歲,['兒童故事']
125,幽默三國之超級小偷連環賽,9-12 歲,['兒童故事']
126,六年二班國宅隊,9-12 歲,"['兒童故事', '青少年']"
127,黑洞垃圾桶,9-12 歲,"['兒童故事', '青少年']"
128,動物大遊行100,學齡前(0-5 歲),['兒童遊戲']
129,柴升找財神,9-12 歲,['兒童故事']
130,最後一名土地公,9-12 歲,['兒童故事']
131,門神少一半,9-12 歲,['兒童故事']
132,玄天上帝的寵物,9-12 歲,['兒童故事']
133,"酷蟲學校. 1, 吵吵鬧鬧的甲蟲班",9-12 歲,"['昆蟲', '甲蟲', '通俗作品']"
134,門裡門外,9-12 歲,['小說']
135,卡里布彎.數學獵人,9-12 歲,"['兒童小說', '青少年']"
136,"孫悟空科學72變. 4, 鍊金術士的化學魔法",9-12 歲,"['化學', '漫畫', '青少年']"
137,"叩叩叩, 請問可以借住一晚嗎?",6-8 歲,['兒童故事']
138,黑鯊的寶藏,9-12 歲,['兒童小說']
139,爸爸 看我飛,6-8 歲,"['兒童故事', '繪本']"
140,猜猜打開是什麼?,學齡前(0-5 歲),['兒童遊戲']
141,猜猜我是誰?,學齡前(0-5 歲),['兒童遊戲']
142,回禮,6-8 歲,"['兒童故事', '繪本']"
143,尋找冬天的昆蟲,6-8 歲,['昆蟲']
144,吸血鬼保護隊,少年,"['兒童小說', '青少年']"
145,冒牌騎士王子,6-8 歲,"['兒童小說', '青少年']"
146,我的大個子朋友,9-12 歲,"['兒童小說', '青少年']"
147,小青蛙 : 給0-3歲的經典兒歌,學齡前(0-5 歲),['兒歌']
148,"奇蹟廚房. 2, 幸福魔法食譜",9-12 歲,['兒童故事']
149,愛夢想的小種子,6-8 歲,['兒童故事']
150,爸爸去上班,學齡前(0-5 歲),"['兒童故事', '繪本']"
151,跳格格的日子,6-8 歲,"['兒童故事', '繪本']"
152,逃出塑膠島,6-8 歲,['兒童故事']
153,"Hiyo衝天跑數學王. 4, 魔法立體圖形大決鬥 = Tales runner",少年,"['數學', '漫畫', '通俗作品', '韓國']"
154,丁丁歷險記 : 電影珍藏本,9-12 歲,['兒童故事']
155,超級專家,少年,['小說']
156,感動一輩子的感恩小故事 : 改變一生的力量往往來自一個小故事的啟發 = Long-lasting touching stories of thanksgiving,少年,"['兒童故事', '青少年']"
157,飛不動的小魔女,6-8 歲,['兒童故事']
158,任性鬼的恐怖暑假,少年,['兒童小說']
159,熱血天兵偵探團,少年,['兒童小說']
160,魔女1/2之婀娜島,少年,"['兒童小說', '青少年']"
161,黑咪,13-19 歲,['兒童故事']
162,怪獸老媽,少年,['兒童小說']
163,勇闖宇宙三部曲 : 宇宙起源大霹靂,少年,"['兒童小說', '青少年']"
164,魔女1/2之魔女訓練營,少年,"['兒童小說', '青少年']"
165,護身符大戰十字架 : 尊重不同信仰,6-8 歲,['兒童故事']
166,幽默三國之暴瘋突擊隊,9-12 歲,['兒童故事']
167,極樂森林的秘密 : 每個大人的心中都有一個想飛的少年,9-12 歲,['兒童小說']
168,摘星星的少女,少年,['兒童小說']
169,"媽媽,不要忘記我!",少年,['兒童小說']
170,小小星光馬戲團,6-8 歲,['兒童故事']
171,番薯勳章,9-12 歲,"['兒童小說', '青少年']"
172,阿公草,9-12 歲,['兒童故事']
173,餓扁的鍋子,6-8 歲,['兒童故事']
174,冰凍咒語,9-12 歲,['兒童故事']
175,魔法學校發生的事,6-8 歲,['兒童遊戲']
176,小豆子豆豆,6-8 歲,"['童話', '繪本']"
177,一探究竟!圖解宇宙.地球的96個小知識,少年,"['地球科學', '宇宙', '問題集']"
178,我的第一輛腳踏車,6-8 歲,"['兒童故事', '繪本']"
179,貓頭鷹飛飛,6-8 歲,"['童話', '繪本']"
180,教科書裡的瘋狂實驗 : 漫畫化學,少年,"['化學實驗', '漫畫', '知識性']"
181,探索新知!圖解生物的奧妙,少年,"['生命科學', '問題集']"
182,"酷蟲學校. 2, 亂作一團的運動會",9-12 歲,"['昆蟲', '通俗作品']"
183,小貓喵嗚,6-8 歲,"['百科全書', '貓']"
184,和爺爺去冒險,9-12 歲,['兒童故事']
185,我的爸爸是天使 : 四歲女孩一千四百天的失親告白,9-12 歲,"['死亡', '生命教育', '通俗作品']"
186,心願奇蹟 : 平凡孩子的不平凡力量,9-12 歲,"['世界傳記', '兒童', '自我實現', '通俗作品', '青少年']"
187,娜米和可愛的動物們,6-8 歲,"['兒童故事', '繪本']"
188,妳和我又不是同一國,9-12 歲,['兒童故事']
189,留下來的孩子,9-12 歲,"['兒童小說', '青少年']"
190,抽屜裡的祕密 : 張曉風為孩子說故事,6-8 歲,"['兒童故事', '青少年']"
191,好可怕的咕咚 = The terrible plop,6-8 歲,['兒童故事']
192,害羞的米奧,6-8 歲,"['兒童故事', '學習心理', '繪本']"
193,什麼貓都有用,6-8 歲,"['兒童故事', '繪本']"
194,年,6-8 歲,"['兒童故事', '繪本']"
195,灶王爺,6-8 歲,"['兒童故事', '繪本']"
196,泥將軍,6-8 歲,"['兒童故事', '繪本']"
197,看不見的馬,6-8 歲,"['兒童故事', '繪本']"
198,紙馬,6-8 歲,"['兒童故事', '繪本']"
199,"紅蜻蜓, 綠蜻蜓",6-8 歲,['童謠']
200,屠龍族,6-8 歲,"['兒童故事', '繪本']"
201,狗狗為什麼?,6-8 歲,['兒童故事']
202,寫作滿分王,9-12 歲,"['中小學教育', '作文', '寫作法', '漢語教學']"
203,麗莎和卡斯柏 : 給自己的禮物,6-8 歲,['兒童故事']
204,提姆海上遇難記,6-8 歲,"['兒童故事', '繪本']"
205,提姆的燈塔驚魂記,6-8 歲,"['兒童故事', '繪本']"
206,不再咬指甲,6-8 歲,"['兒童故事', '繪本']"
207,在黑暗中舉起火炬 : 何鳳山的故事,6-8 歲,"['傳記', '圖畫故事']"
208,鬍子叔叔和雪人新娘,6-8 歲,"['兒童故事', '繪本']"
209,小豬噗噗,6-8 歲,"['童話', '繪本']"
210,隔壁家的小腳阿嬤,9-12 歲,['兒童故事']
211,小青蛙法格VS. 101 = The little froggie,9-12 歲,['兒童故事']
212,變身小雲朵,6-8 歲,['兒童故事']
213,親親壞姊妹,少年,"['兒童小說', '青少年']"
214,露西的勇氣魔法石,6-8 歲,['兒童故事']
215,我不怕大姊大,9-12 歲,['兒童故事']
216,若伯特的孩子,9-12 歲,['兒童故事']
217,幽靈城堡闖關記,9-12 歲,['兒童小說']
218,奔跑吧!小斑馬,6-8 歲,"['兒童故事', '學習心理', '繪本']"
219,小河是我家,6-8 歲,"['兒童故事', '學習心理', '繪本']"
220,愛的約定,6-8 歲,"['兒童故事', '學習心理', '繪本']"
221,小作家佩佩,6-8 歲,"['兒童故事', '學習心理']"
222,夢想叔叔的皮箱,6-8 歲,"['兒童故事', '學習心理', '繪本']"
223,我是小小飛行員,6-8 歲,"['兒童故事', '學習心理', '繪本']"
224,大熊郵差的花園,6-8 歲,"['兒童故事', '學習心理', '繪本']"
225,靑靑的祈禱,6-8 歲,"['兒童故事', '學習心理', '繪本']"
226,咕曼學跳舞,6-8 歲,"['兒童故事', '學習心理', '繪本']"
227,大灰熊的夢想,6-8 歲,"['兒童故事', '學習心理', '繪本']"
228,冬精靈的計劃表,6-8 歲,"['兒童故事', '學習心理', '繪本']"
229,雞蛋不見了,6-8 歲,"['兒童故事', '學習心理', '繪本']"
230,雪橇馴鹿選拔賽,6-8 歲,"['兒童故事', '學習心理', '繪本']"
231,演一棵樹好嗎?,6-8 歲,"['兒童故事', '學習心理', '繪本']"
232,誰是森林之王?,6-8 歲,"['兒童故事', '學習心理', '繪本']"
233,小波和貝貝的圍巾帽,6-8 歲,"['兒童故事', '學習心理', '繪本']"
234,熊博士信箱,6-8 歲,"['兒童故事', '學習心理', '繪本']"
235,幸福的粉紅色種子,6-8 歲,"['兒童故事', '學習心理', '繪本']"
236,太陽和月亮,6-8 歲,"['兒童故事', '學習心理', '繪本']"
237,巨人的晚餐,6-8 歲,"['兒童故事', '學習心理', '繪本']"
238,和拖吊車當朋友,6-8 歲,"['兒童故事', '學習心理', '繪本']"
239,小斑馬踢足球,6-8 歲,"['兒童故事', '學習心理', '繪本']"
240,有話對你說,6-8 歲,"['兒童故事', '學習心理', '繪本']"
241,小象布布打招呼,6-8 歲,"['兒童故事', '學習心理', '繪本']"
242,蒙博士的大耳朵,6-8 歲,"['兒童故事', '學習心理', '繪本']"
243,燕子記者的讚美日報,6-8 歲,"['兒童故事', '學習心理', '繪本']"
244,大家都是小灰豬,6-8 歲,"['兒童故事', '學習心理', '繪本']"
245,小樂團的演奏會,6-8 歲,"['兒童故事', '學習心理', '繪本']"
246,送禮物給老師,6-8 歲,"['兒童故事', '學習心理', '繪本']"
247,聰明的小酋長,6-8 歲,"['兒童故事', '學習心理', '繪本']"
248,小國王的妙魔法,6-8 歲,"['兒童故事', '學習心理', '繪本']"
249,三隻豬小妹,6-8 歲,"['兒童故事', '學習心理', '繪本']"
250,最棒的綽號,6-8 歲,"['兒童故事', '學習心理', '繪本']"
251,叔叔的改變,6-8 歲,"['兒童故事', '學習心理', '繪本']"
252,壞孩子學校,6-8 歲,"['兒童故事', '學習心理', '繪本']"
253,發明家艾寶,6-8 歲,"['兒童故事', '學習心理', '繪本']"
254,認真先生和笑笑先生,6-8 歲,"['兒童故事', '學習心理', '繪本']"
255,幸福公寓,6-8 歲,"['兒童故事', '學習心理', '繪本']"
256,未來領袖CEO菁英計畫,6-8 歲,"['兒童故事', '學習心理', '品格', '繪本']"
257,小狗汪汪,6-8 歲,"['百科全書', '犬']"
258,海豚和鯨魚,6-8 歲,['百科全書']
259,大恐龍,6-8 歲,"['百科全書', '恐龍']"
260,奇妙宇宙,6-8 歲,"['百科全書', '宇宙']"
261,輪子轉轉,6-8 歲,"['百科全書', '車輛']"
262,身體痛痛,6-8 歲,"['百科全書', '疼痛']"
263,"學校沒教的小故事,大成就 : 一生受用的100則中國人物成功故事 = 100 Chinese great men's secrets to success",少年,"['傳記', '通俗作品', '中國']"
264,小白兔和他的敵人,6-8 歲,['兒童故事']
265,悉達多王子 : 印度宗教故事,6-8 歲,['傳記']
266,原來這裡是野柳,9-12 歲,"['地質', '臺北縣萬里鄉']"
267,身體的各位,9-12 歲,"['科學', '通俗作品']"
268,一分鐘寓言,少年,None
269,十字軍騎士,6-8 歲,['兒童小說']
270,白玉狐狸,6-8 歲,['兒童小說']
271,沙皇密諜,6-8 歲,['兒童小說']
272,帖之謎,6-8 歲,['兒童小說']
273,最後一個摩希根人,6-8 歲,['兒童小說']
274,無姓家族,6-8 歲,['兒童故事']
275,傻鴨子歐巴兒,6-8 歲,['兒童故事']
276,萬夫莫敵,6-8 歲,['兒童小說']
277,肚臍的祕密,學齡前(0-5 歲),None
278,我的蠟筆,學齡前(0-5 歲),['繪本']
279,神奇的藍色水桶,學齡前(0-5 歲),"['兒童故事', '繪本']"
280,我絶對絶對不吃番茄,6-8 歲,['兒童故事']
281,和小兔彼得去冒險 : 立體玩具書,少年,None
282,是誰躲起來了?,學齡前(0-5 歲),None
283,呼嚕呼嚕爺爺睡醒的那天,6-8 歲,['兒童故事']
284,たのしいにほんご,少年,"['日語', '讀本']"
285,淡紫色的貓,少年,['兒童小說']
286,點,學齡前(0-5 歲),"['兒童故事', '青少年']"
287,寶寶的第一本abc厚紙板翻翻書 =  My first abc lift-the-flap board book,學齡前(0-5 歲),None
288,"阿非, 這個愛畫畫的小孩",少年,None
289,偉偉找快樂,6-8 歲,None
290,"媽媽,生日快樂!",學齡前(0-5 歲),None
291,妞妞的鹿角,學齡前(0-5 歲),None
292,我想養寵物,學齡前(0-5 歲),['兒童故事']
293,黑看白,學齡前(0-5 歲),None
294,第五個,學齡前(0-5 歲),"['兒童故事', '繪本']"
295,寇特尼,學齡前(0-5 歲),"['繪本', '犬']"
296,我睡不著,學齡前(0-5 歲),None
297,魔奇魔奇樹,6-8 歲,None
298,丹丹 躲貓貓,學齡前(0-5 歲),None
299,丹丹 一起來玩兒,學齡前(0-5 歲),None
300,丹丹 嚼嚼嚼,學齡前(0-5 歲),None
301,丹丹 刷牙 刷~刷~刷,學齡前(0-5 歲),None
302,21世紀兒童英語大百科 : What's what = The 21st century illustrated guide for English,9-12 歲,"['英語', '詞彙']"
303,想念,學齡前(0-5 歲),"['兒童故事', '繪本']"
304,假裝是魚,少年,['兒童故事']
305,我的朋友,學齡前(0-5 歲),"['兒童故事', '繪本']"
306,春天來了,學齡前(0-5 歲),None
307,我和我家附近的野狗們,6-8 歲,None
308,左腦右腦咕嚕咕嚕轉. 3+歲日常生活,學齡前(0-5 歲),['兒童遊戲']
309,左腦右腦咕嚕咕嚕轉. 4+歲日常生活,學齡前(0-5 歲),['兒童遊戲']
310,咕嚕咕嚕,學齡前(0-5 歲),['圖畫故事']
311,小豬的家,學齡前(0-5 歲),['圖畫故事']
312,我們沒有家了,學齡前(0-5 歲),['圖畫故事']
313,飛上天的小氣球,學齡前(0-5 歲),['圖畫故事']
314,安靜的小屋,學齡前(0-5 歲),['圖畫故事']
315,我懂禮貌人人誇,學齡前(0-5 歲),['圖畫故事']
316,小刺蝟的刺,學齡前(0-5 歲),['圖畫故事']
317,快樂的午餐,學齡前(0-5 歲),['圖畫故事']
318,小豬的決心,學齡前(0-5 歲),['圖畫故事']
319,上幼稚園,學齡前(0-5 歲),['圖畫故事']
320,天黑我不怕,學齡前(0-5 歲),['圖畫故事']
